Year,ChickPrice,BeefPrice,BeefConsump,CPI,DPI
1965,37.24500733,59.5,99.5,31.5,2505
1966,39.44150776,62.2,104.1,32.4,2675
1967,36.38550716,60.7,106.5,33.4,2828
1968,38.00900748,63.5,109.7,34.8,3037
1969,40.30100793,70.4,110.8,36.7,3239
1970,38.96400767,72.5,113.5,38.8,3489
1971,40.51103838,75,112.7,40.5,3740
1972,41.86140633,82.1,115.5,41.8,4000
1973,54.98698276,102.8,108.8,44.4,4481
1974,53.20449707,102.1,115.7,49.3,4855
1975,59.36217491,102.8,118.8,53.8,5291
1976,59.7,96.9,127.5,56.9,5744
1977,60.1,92,124,60.6,6262
1978,66.5,124.01887,117.9,65.2,6968
1979,68,154.0014539,105.5,72.6,7682
1980,72,162.1785223,103.4,82.4,8421
1981,73.7,162.8599447,104.3,90.9,9243
1982,71.6,165.5856341,103.7,96.5,9724
1983,72.8,162.1785223,105.7,99.6,10340
1984,81.4,163.541367,105.5,103.9,11257
1985,76,158.7714105,106.5,107.6,11861
1986,84,157.4085658,107.3,109.6,12469
1987,78,164.9042117,103.3,113.6,13094
1988,85.37,250.3416667,102.7985812,118.3,14477
1989,92.7,265.6583333,97.66680451,124,15307
1990,89.92,281.0166667,95.79480182,130.7,16205
1991,88.03,288.325,94.85575823,136.2,16766
1992,86.92,284.6083333,94.14388814,140.3,17636
1993,89.02,293.4416667,92.00207489,144.5,18153
1994,90.09,282.875,95.16542917,148.2,19003
1995,91.67,284.3333333,95.54054105,152.4,20604
1996,97.27,280.2333333,95.69209432,156.9,21375
1997,100.19,279.5333333,93.61479158,160.5,22312
1998,104.37,277.1166667,95.00751498,163,23016
1999,105.59,287.7607738,96.1614064,166.6,23693
2000,107.12,306.4,96.46501484,172.2,24908